policy,train_size_label,train_rows,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
OPT_Imit_Reg_10k,10k,10000,0.5418,2.2864,1.101,11.68,1427.9
OPT_Imit_Reg_100k,100k,100000,0.524,2.2858,1.146,14.114,1412.6
OPT_Imit_Reg_1shard,1shard,142000,0.5534,2.2747,1.12,13.901,1408.7
OPT_Imit_Reg_2shards,2shards,284000,0.5427,2.2811,1.121,13.924,1414.7
OPT_Imit_Reg_4shards,4shards,568000,0.552,2.2804,1.088,13.018,1424.7
OPT_Imit_Rank_10k,10k,10000,0.6959,2.2285,0.755,10.0,1168.9
OPT_Imit_Rank_100k,100k,100000,0.514,2.3002,1.213,15.02,846.3
OPT_Imit_Rank_1shard,1shard,142000,0.4905,2.2932,1.375,17.403,830.0
OPT_Imit_Rank_2shards,2shards,284000,0.4324,2.3128,6.688,25.039,838.0
OPT_Imit_Rank_4shards,4shards,568000,0.5366,2.278,1.257,15.02,858.0
