policy,train_size_label,train_rows,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,baseline,0,0.7561,2.1976,0.642,9.961,1481.7
Decay,baseline,0,0.7474,2.2197,0.626,8.789,1461.3
OPT,baseline,0,0.8997,2.1501,0.47,6.816,1465.7
ML_Reg_10k,10k,10000,0.4153,2.3305,7.318,25.039,1745.1
ML_Rank_10k,10k,10000,0.464,2.298,1.433,18.871,1735.8
OPT_Imit_Reg_10k,10k,10000,0.5958,2.2527,1.192,14.633,1600.0
OPT_Imit_Rank_10k,10k,10000,0.6879,2.2251,0.852,10.01,1604.5
ML_Reg_100k,100k,100000,0.5401,2.2832,1.133,15.0,1655.8
ML_Rank_100k,100k,100000,0.4657,2.3119,6.425,20.0,1674.3
OPT_Imit_Reg_100k,100k,100000,0.5244,2.301,1.208,15.02,1676.5
OPT_Imit_Rank_100k,100k,100000,0.563,2.2624,1.328,15.304,1585.7
ML_Reg_1shard,1shard,168000,0.5462,2.2746,1.261,15.02,1457.0
ML_Rank_1shard,1shard,168000,0.5416,2.2751,1.257,15.02,1629.3
OPT_Imit_Reg_1shard,1shard,168000,0.5465,2.2886,1.054,11.68,1659.3
OPT_Imit_Rank_1shard,1shard,168000,0.4845,2.293,1.326,20.029,1642.5
ML_Reg_2shards,2shards,336000,0.541,2.2704,1.269,15.02,1630.6
ML_Rank_2shards,2shards,336000,0.5276,2.278,1.297,15.02,1602.8
OPT_Imit_Reg_2shards,2shards,336000,0.5776,2.2702,1.007,11.68,1481.5
OPT_Imit_Rank_2shards,2shards,336000,0.5213,2.2778,1.294,18.803,1665.5
ML_Reg_4shards,4shards,672000,0.5639,2.2649,1.163,15.02,1635.9
ML_Rank_4shards,4shards,672000,0.5583,2.2552,4.403,15.0,1616.2
OPT_Imit_Reg_4shards,4shards,672000,0.6073,2.2628,0.922,11.667,1663.6
OPT_Imit_Rank_4shards,4shards,672000,0.5041,2.3032,1.262,15.02,1668.8
