policy,scenario,train_group,eval_group,sat_shards,eval_shards,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,same_group_far,c1g1,c1g1,46-47,46-47,0.7706,2.2698,0.644,10.0,1237.5
Decay,same_group_far,c1g1,c1g1,46-47,46-47,0.7565,2.2908,0.644,10.0,1234.0
ML_Reg,same_group_far,c1g1,c1g1,46-47,46-47,0.3904,2.3621,3.439,40.068,1519.5
ML_Rank,same_group_far,c1g1,c1g1,46-47,46-47,0.3863,2.3678,3.406,40.886,1468.7
OPT_Imit_Reg,same_group_far,c1g1,c1g1,46-47,46-47,0.3009,2.42,5.148,92.598,1422.3
OPT_Imit_Rank,same_group_far,c1g1,c1g1,46-47,46-47,0.4453,2.3322,2.707,23.249,1413.0
LRU,diff_group,c1g1,c1g2,0-1,0-1,0.7548,2.2285,0.613,10.0,658.6
Decay,diff_group,c1g1,c1g2,0-1,0-1,0.7411,2.2538,0.587,10.0,697.9
ML_Reg,diff_group,c1g1,c1g2,0-1,0-1,0.6449,2.2965,0.814,10.636,777.2
ML_Rank,diff_group,c1g1,c1g2,0-1,0-1,0.6293,2.3112,0.799,10.01,772.2
OPT_Imit_Reg,diff_group,c1g1,c1g2,0-1,0-1,0.6058,2.3438,0.782,10.01,770.5
OPT_Imit_Rank,diff_group,c1g1,c1g2,0-1,0-1,0.7107,2.2751,0.614,10.0,739.4
LRU,diff_cluster,c1g1,c3g1,0-1,0-1,0.8627,2.1663,0.36,10.0,541.5
Decay,diff_cluster,c1g1,c3g1,0-1,0-1,0.8564,2.1784,0.345,10.0,494.9
ML_Reg,diff_cluster,c1g1,c3g1,0-1,0-1,0.7348,2.2159,0.547,10.01,566.3
ML_Rank,diff_cluster,c1g1,c3g1,0-1,0-1,0.7407,2.2138,0.516,10.01,591.0
OPT_Imit_Reg,diff_cluster,c1g1,c3g1,0-1,0-1,0.7117,2.2391,0.503,10.01,545.8
OPT_Imit_Rank,diff_cluster,c1g1,c3g1,0-1,0-1,0.8401,2.186,0.358,10.0,599.8
LRU,baseline,c1g1,c1g1,4-5,4-5,0.7561,2.1976,0.642,9.961,1457.4
Decay,baseline,c1g1,c1g1,4-5,4-5,0.7474,2.2197,0.626,8.789,1550.3
ML_Reg,baseline,c1g1,c1g1,4-5,4-5,0.5954,2.2546,1.058,12.224,1803.5
ML_Rank,baseline,c1g1,c1g1,4-5,4-5,0.582,2.2593,1.03,11.68,1843.4
OPT_Imit_Reg,baseline,c1g1,c1g1,4-5,4-5,0.5553,2.2838,1.059,11.68,1812.0
OPT_Imit_Rank,baseline,c1g1,c1g1,4-5,4-5,0.701,2.2266,0.758,10.0,1884.2
LRU,native_c1g2,c1g2,c1g2,4-5,4-5,0.7486,2.2365,0.6,10.0,906.4
Decay,native_c1g2,c1g2,c1g2,4-5,4-5,0.7393,2.2552,0.584,10.0,854.8
ML_Reg,native_c1g2,c1g2,c1g2,4-5,4-5,0.6125,2.3189,0.828,12.592,948.5
ML_Rank,native_c1g2,c1g2,c1g2,4-5,4-5,0.6251,2.3182,0.738,10.01,940.0
OPT_Imit_Reg,native_c1g2,c1g2,c1g2,4-5,4-5,0.6434,2.3062,0.701,10.01,836.1
OPT_Imit_Rank,native_c1g2,c1g2,c1g2,4-5,4-5,0.7019,2.2802,0.612,10.0,865.0
LRU,native_c3g1,c3g1,c3g1,4-5,4-5,0.8665,2.1368,0.402,10.0,515.5
Decay,native_c3g1,c3g1,c3g1,4-5,4-5,0.8612,2.1522,0.385,10.0,519.4
ML_Reg,native_c3g1,c3g1,c3g1,4-5,4-5,0.6805,2.2087,0.68,10.01,608.0
ML_Rank,native_c3g1,c3g1,c3g1,4-5,4-5,0.6291,2.2426,0.815,15.02,633.6
OPT_Imit_Reg,native_c3g1,c3g1,c3g1,4-5,4-5,0.8014,2.1706,0.445,10.01,566.7
OPT_Imit_Rank,native_c3g1,c3g1,c3g1,4-5,4-5,0.8543,2.156,0.39,10.0,562.1
Hybrid_ML_Reg_p25,same_group_far,c1g1,c1g1,46-47,46-47,0.4349,2.3356,3.137,38.956,1776.5
Hybrid_OPT_Rank_p10,same_group_far,c1g1,c1g1,46-47,46-47,0.4303,2.3324,3.515,52.68,1709.6
Hybrid_ML_Reg_p25,diff_group,c1g1,c1g2,0-1,0-1,0.7357,2.258,0.594,10.0,1068.1
Hybrid_OPT_Rank_p10,diff_group,c1g1,c1g2,0-1,0-1,0.7337,2.2596,0.593,10.0,1086.4
Hybrid_ML_Reg_p25,diff_cluster,c1g1,c3g1,0-1,0-1,0.8542,2.1785,0.344,10.0,763.5
Hybrid_OPT_Rank_p10,diff_cluster,c1g1,c3g1,0-1,0-1,0.8554,2.1792,0.345,10.0,854.0
Hybrid_ML_Reg_p25,baseline,c1g1,c1g1,4-5,4-5,0.7469,2.2223,0.634,8.914,1893.9
Hybrid_OPT_Rank_p10,baseline,c1g1,c1g1,4-5,4-5,0.7361,2.224,0.653,9.512,1622.8
