policy,scenario,train_group,eval_group,sat_shards,eval_shards,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,same_group_far,c1g1,c1g1,46-47,46-47,0.7706,2.2698,0.644,10.0,1237.5
Decay,same_group_far,c1g1,c1g1,46-47,46-47,0.7565,2.2908,0.644,10.0,1234.0
ML_Reg,same_group_far,c1g1,c1g1,46-47,46-47,0.3904,2.3621,3.439,40.068,1519.5
ML_Rank,same_group_far,c1g1,c1g1,46-47,46-47,0.3863,2.3678,3.406,40.886,1468.7
OPT_Imit_Reg,same_group_far,c1g1,c1g1,46-47,46-47,0.3009,2.42,5.148,92.598,1422.3
OPT_Imit_Rank,same_group_far,c1g1,c1g1,46-47,46-47,0.4453,2.3322,2.707,23.249,1413.0
LRU,diff_group,c1g1,c1g2,0-1,0-1,0.7548,2.2285,0.613,10.0,658.6
Decay,diff_group,c1g1,c1g2,0-1,0-1,0.7411,2.2538,0.587,10.0,697.9
ML_Reg,diff_group,c1g1,c1g2,0-1,0-1,0.6449,2.2965,0.814,10.636,777.2
ML_Rank,diff_group,c1g1,c1g2,0-1,0-1,0.6293,2.3112,0.799,10.01,772.2
OPT_Imit_Reg,diff_group,c1g1,c1g2,0-1,0-1,0.6058,2.3438,0.782,10.01,770.5
OPT_Imit_Rank,diff_group,c1g1,c1g2,0-1,0-1,0.7107,2.2751,0.614,10.0,739.4
LRU,diff_cluster,c1g1,c3g1,0-1,0-1,0.8627,2.1663,0.36,10.0,541.5
Decay,diff_cluster,c1g1,c3g1,0-1,0-1,0.8564,2.1784,0.345,10.0,494.9
ML_Reg,diff_cluster,c1g1,c3g1,0-1,0-1,0.7348,2.2159,0.547,10.01,566.3
ML_Rank,diff_cluster,c1g1,c3g1,0-1,0-1,0.7407,2.2138,0.516,10.01,591.0
OPT_Imit_Reg,diff_cluster,c1g1,c3g1,0-1,0-1,0.7117,2.2391,0.503,10.01,545.8
OPT_Imit_Rank,diff_cluster,c1g1,c3g1,0-1,0-1,0.8401,2.186,0.358,10.0,599.8
