policy,cache_size_label,cache_bytes,n_eval_shards,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,512MB,536870912,2,0.5803,1.4131,3.444,18.359,1783.9
Decay,512MB,536870912,2,0.0144,3.0974,65.855,1623.818,1726.1
ML_Reg,512MB,536870912,2,0.0057,2.4664,48.261,1366.363,1692.6
ML_Rank,512MB,536870912,2,0.0055,2.4695,48.321,1366.58,1614.4
OPT_Imit_Reg,512MB,536870912,2,0.0048,2.4786,48.335,1366.864,1581.4
OPT_Imit_Rank,512MB,536870912,2,0.0048,2.4765,48.382,1366.864,1540.2
Hybrid_ML_Reg_p25,512MB,536870912,2,0.0073,2.4665,48.317,1366.864,1609.4
Hybrid_OPT_Rank_p10,512MB,536870912,2,0.0068,2.4709,48.287,1366.864,1585.6
LRU,1GB,1073741824,2,0.5647,1.4346,3.398,18.359,1190.5
Decay,1GB,1073741824,2,0.0531,2.7695,40.476,1063.289,1186.5
ML_Reg,1GB,1073741824,2,0.0124,2.4299,48.43,1364.718,1404.1
ML_Rank,1GB,1073741824,2,0.013,2.4272,49.421,1366.864,1399.6
OPT_Imit_Reg,1GB,1073741824,2,0.0105,2.4508,48.489,1366.228,1389.0
OPT_Imit_Rank,1GB,1073741824,2,0.0147,2.4122,45.496,1123.064,942.0
Hybrid_ML_Reg_p25,1GB,1073741824,2,0.0218,2.4068,49.096,1383.113,924.0
Hybrid_OPT_Rank_p10,1GB,1073741824,2,0.0186,2.4175,47.829,1362.058,931.0
LRU,2GB,2147483648,2,0.5901,1.5082,3.29,17.084,808.8
Decay,2GB,2147483648,2,0.4128,2.3137,1.214,11.68,731.7
ML_Reg,2GB,2147483648,2,0.0411,2.32,29.068,307.406,918.2
ML_Rank,2GB,2147483648,2,0.0349,2.3487,29.711,308.898,901.9
OPT_Imit_Reg,2GB,2147483648,2,0.0312,2.3802,30.039,331.137,917.4
OPT_Imit_Rank,2GB,2147483648,2,0.031,2.3779,29.871,313.781,925.8
Hybrid_ML_Reg_p25,2GB,2147483648,2,0.0322,2.4151,48.521,1393.238,900.1
Hybrid_OPT_Rank_p10,2GB,2147483648,2,0.0318,2.4201,48.571,1395.029,899.7
LRU,5GB,5368709120,2,0.6252,1.8267,3.384,19.961,799.0
Decay,5GB,5368709120,2,0.6349,2.2474,0.789,11.26,730.8
ML_Reg,5GB,5368709120,2,0.0981,2.3569,28.988,320.518,862.7
ML_Rank,5GB,5368709120,2,0.0958,2.352,28.935,322.459,840.4
OPT_Imit_Reg,5GB,5368709120,2,0.081,2.3821,29.584,297.447,871.4
OPT_Imit_Rank,5GB,5368709120,2,0.1097,2.3295,29.761,327.648,834.8
Hybrid_ML_Reg_p25,5GB,5368709120,2,0.1087,2.3268,29.863,327.052,840.1
Hybrid_OPT_Rank_p10,5GB,5368709120,2,0.1205,2.3135,29.199,323.927,820.1
LRU,10GB,10737418240,2,0.7561,2.1976,0.642,9.961,749.9
Decay,10GB,10737418240,2,0.7474,2.2197,0.626,8.789,752.8
ML_Reg,10GB,10737418240,2,0.5878,2.2608,1.124,14.702,850.6
ML_Rank,10GB,10737418240,2,0.588,2.2591,1.143,15.0,810.6
OPT_Imit_Reg,10GB,10737418240,2,0.5621,2.2686,1.087,11.68,817.9
OPT_Imit_Rank,10GB,10737418240,2,0.7036,2.2262,0.749,10.0,808.1
Hybrid_ML_Reg_p25,10GB,10737418240,2,0.7345,2.2221,0.703,10.0,827.5
Hybrid_OPT_Rank_p10,10GB,10737418240,2,0.7361,2.224,0.653,9.512,802.1
LRU,20GB,21474836480,4,0.7948,2.1848,0.573,9.766,4132.7
Decay,20GB,21474836480,4,0.7863,2.1967,0.569,9.219,4112.8
ML_Reg,20GB,21474836480,4,0.6329,2.2534,0.818,10.01,5366.7
ML_Rank,20GB,21474836480,4,0.6126,2.2592,0.858,10.01,7087.7
OPT_Imit_Reg,20GB,21474836480,4,0.6547,2.2521,0.722,10.0,7153.6
OPT_Imit_Rank,20GB,21474836480,4,0.6158,2.2476,0.834,12.726,4477.9
Hybrid_ML_Reg_p25,20GB,21474836480,4,0.8046,2.1973,0.575,7.666,1306.4
Hybrid_OPT_Rank_p10,20GB,21474836480,4,0.8075,2.1957,0.571,7.607,1290.1
Hybrid_ML_Reg_p25,100GB,107374182400,17,0.8997,2.1521,0.47,6.816,1556.3
