policy,category,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,baseline,0.7561,2.1976,0.642,9.961,1784.9
Decay,baseline,0.7474,2.2197,0.626,8.789,1775.7
LRU+CA_r50_n1,cost_aware,0.604,1.8144,3.404,30.52,1727.5
LRU+CA_r100_n1,cost_aware,0.7039,1.9778,2.085,18.408,1627.7
LRU+CA_r200_n1,cost_aware,0.7709,2.1853,0.636,10.0,1370.5
LRU+CA_r50_n2,cost_aware,0.6649,1.572,2.672,18.359,1768.3
LRU+CA_r100_n2,cost_aware,0.6649,1.572,2.672,18.359,1701.4
LRU+CA_r200_n2,cost_aware,0.6649,1.572,2.672,18.359,1740.1
LRU+CA_r50_n3,cost_aware,0.6579,1.5707,2.701,19.735,916.4
Decay+CA_r100_n2,cost_aware_decay,0.5822,2.1967,2.445,10.01,805.7
Decay+CA_r200_n1,cost_aware_decay,0.7183,2.2187,0.782,9.98,826.9
ML_Promo_hr_t0,ml_promotion,0.7201,2.22,0.726,10.0,928.6
ML_Promo_hr_t0.5,ml_promotion,0.7064,2.218,0.782,10.0,932.1
ML_Promo_hr_t1,ml_promotion,0.4602,2.22,2.709,31.163,949.6
ML_Promo_hr_t2,ml_promotion,0.3484,2.2302,12.274,91.907,963.4
ML_Promo_hr_t5,ml_promotion,0.4793,2.2037,2.649,19.24,977.7
ML_Promo_rt_t0,ml_promotion,0.722,2.2195,0.725,10.0,919.7
ML_Promo_rt_t0.5,ml_promotion,0.722,2.2195,0.725,10.0,928.4
ML_Promo_rt_t1,ml_promotion,0.722,2.2195,0.725,10.0,935.1
ML_Promo_rt_t2,ml_promotion,0.722,2.2195,0.725,10.0,931.7
ML_Promo_hr_t1+CA_r100,ml_promo_ca,0.0369,2.2762,18.247,177.573,1127.8
ML_Promo_hr_t2+CA_r100,ml_promo_ca,0.0371,2.2743,18.193,174.685,1131.4
ML_Promo_rt_t1+CA_r100,ml_promo_ca,0.037,2.2765,18.331,175.304,1133.3
